student_id,paper_id,paper_name,subject,scene,is_submit,submit_time,total_questions,wrong_count,wrong_question_ids,correct_rate
S002,52040203,2025年广州市初一数学9月月考卷,数学,刷真题,已交卷,2025/9/15 7:49,21,10,"10,932,774,109,329,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",0.5238
S003,52040203,2025年广州市初一数学9月月考卷,数学,刷真题,已交卷,2025/9/15 21:28,21,3,"109,330,171,093,304,000,000,000",0.8571
S004,52040203,2025年广州市初一数学9月月考卷,数学,刷真题,未交卷仅在线练,2025/9/14 19:09,21,0,null,0
S001,52670756,广州大学附属中学初一语文第一次阶段检测,语文,刷真题,已交卷,2025/9/10 19:54,12,3,"109,507,601,095,083,000,000,000",0.75
S003,52670756,广州大学附属中学初一语文第一次阶段检测,语文,刷真题,已交卷,2025/9/10 21:40,12,4,"10,950,457,109,508,300,000,000,000,000,000",0.6667
S004,52670756,广州大学附属中学初一语文第一次阶段检测,语文,刷真题,未交卷仅在线练,2025/9/9 7:05,12,0,null,0
S001,57165035,2025年广州市初一英语9月月考卷,英语,刷真题,未交卷仅在线练,2025/9/15 20:37,11,0,null,0
S002,57165035,2025年广州市初一英语9月月考卷,英语,刷真题,已交卷,2025/9/13 10:12,11,2,"1,095,813,410,958,410",0.8182
S002,57165035,2025年广州市初一英语9月月考卷,英语,刷真题,未交卷仅在线练,2025/9/15 13:07,11,0,null,0
S003,57165035,2025年广州市初一英语9月月考卷,英语,刷真题,已交卷,2025/9/14 11:31,11,1,10958465,0.9091
S001,57318362,初一历史月考后巩固卷,历史,刷真题,已交卷,2025/9/20 7:26,20,7,"10,970,311,109,703,300,000,000,000,000,000,000,000,000,000,000,000,000,000",0.65
S001,57318362,初一历史月考后巩固卷,历史,刷真题,未交卷仅在线练,2025/9/23 10:14,20,0,null,0
S002,57318362,初一历史月考后巩固卷,历史,刷真题,已交卷,2025/9/20 21:54,20,4,"10,970,592,109,707,400,000,000,000,000,000",0.8
S003,57318362,初一历史月考后巩固卷,历史,刷真题,未交卷仅在线练,2025/9/20 21:27,20,0,null,0
S004,57318362,初一历史月考后巩固卷,历史,刷真题,已交卷,2025/9/20 18:31,20,8,"1,097,043,910,970,620,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",0.6
S001,51583581,广州大学附属中学初一道德与法治第一次阶段检测,道德与法治,刷真题,已交卷,2025/9/25 11:47,21,4,"10,930,832,109,311,000,000,000,000,000,000",0.8095
S002,51583581,广州大学附属中学初一道德与法治第一次阶段检测,道德与法治,刷真题,已交卷,2025/9/25 13:40,21,2,"1,093,128,810,931,390",0.9048
S003,51583581,广州大学附属中学初一道德与法治第一次阶段检测,道德与法治,刷真题,未交卷仅在线练,2025/9/25 9:20,21,0,null,0
S004,51583581,广州大学附属中学初一道德与法治第一次阶段检测,道德与法治,刷真题,已交卷,2025/9/25 21:52,21,4,"10,931,068,109,312,800,000,000,000,000,000",0.8095
S001,52058690,初一生物上册期中模拟卷（一）,生物,刷真题,未交卷仅在线练,2025/9/29 8:39,21,0,null,0
S002,52058690,初一生物上册期中模拟卷（一）,生物,刷真题,已交卷,2025/9/29 10:12,21,7,"10,935,095,109,352,700,000,000,000,000,000,000,000,000,000,000,000,000,000",0.6667
S003,52058690,初一生物上册期中模拟卷（一）,生物,刷真题,已交卷,2025/9/29 17:53,21,8,"1,093,527,810,935,290,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",0.619
S002,57501215,2024年广州市初一科学期中真题卷,科学,刷真题,未交卷仅在线练,2025/9/5 11:21,20,0,null,0
S003,57501215,2024年广州市初一科学期中真题卷,科学,刷真题,未交卷仅在线练,2025/9/5 7:54,20,0,null,0
S005,29279441,2025年广州市初一数学9月月考卷,数学,刷真题,已交卷,2025/9/15 21:13,21,2,"1,091,675,910,917,350",0.9048
S006,29279441,2025年广州市初一数学9月月考卷,数学,刷真题,未交卷仅在线练,2025/9/15 17:43,21,0,null,0
S007,29279441,2025年广州市初一数学9月月考卷,数学,刷真题,已交卷,2025/9/15 8:14,21,1,10917376,0.9524
S006,52670756,广州大学附属中学初一语文第一次阶段检测,语文,刷真题,已交卷,2025/9/10 8:58,12,2,"1,095,045,710,950,900",0.8333
S007,52670756,广州大学附属中学初一语文第一次阶段检测,语文,刷真题,未交卷仅在线练,2025/9/9 21:15,12,0,null,0
S008,52670756,广州大学附属中学初一语文第一次阶段检测,语文,刷真题,未交卷仅在线练,2025/9/10 8:19,12,0,null,0
S005,46051328,2025年广州市初一英语9月月考卷,英语,刷真题,已交卷,2025/9/15 18:34,11,2,"1,092,429,710,924,710",0.8182
S006,46051328,2025年广州市初一英语9月月考卷,英语,刷真题,未交卷仅在线练,2025/9/15 12:12,11,0,null,0
S007,46051328,2025年广州市初一英语9月月考卷,英语,刷真题,已交卷,2025/9/14 21:18,11,4,"10,924,225,109,243,600,000,000,000,000,000",0.6364
S008,46051328,2025年广州市初一英语9月月考卷,英语,刷真题,未交卷仅在线练,2025/9/15 19:19,11,0,null,0
S005,51243124,初一历史月考后巩固卷,历史,刷真题,未交卷仅在线练,2025/9/20 17:39,20,0,null,0
S006,51243124,初一历史月考后巩固卷,历史,刷真题,已交卷,2025/9/20 18:19,20,3,"109,296,271,092,983,000,000,000",0.85
S007,51243124,初一历史月考后巩固卷,历史,刷真题,已交卷,2025/9/20 19:21,20,2,"1,092,949,710,929,680",0.9
S008,51243124,初一历史月考后巩固卷,历史,刷真题,已交卷,2025/9/19 11:05,20,4,"10,929,454,109,296,200,000,000,000,000,000",0.8
S005,57549433,广州大学附属中学初一道德与法治第一次阶段检测,道德与法治,刷真题,已交卷,2025/9/25 15:36,21,4,"10,975,708,109,759,900,000,000,000,000,000",0.8095
S006,57549433,广州大学附属中学初一道德与法治第一次阶段检测,道德与法治,刷真题,未交卷仅在线练,2025/9/25 7:50,21,0,null,0
S007,57549433,广州大学附属中学初一道德与法治第一次阶段检测,道德与法治,刷真题,已交卷,2025/9/24 11:42,21,9,"109,757,141,097,590,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",0.5714
S008,57549433,广州大学附属中学初一道德与法治第一次阶段检测,道德与法治,刷真题,已交卷,2025/9/25 20:20,21,2,"1,097,558,510,976,350",0.9048
S005,52617892,初一生物上册期中模拟卷（一）,生物,刷真题,已交卷,2025/9/29 12:53,21,9,"109,475,431,094,767,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",0.5714
S007,52617892,初一生物上册期中模拟卷（一）,生物,刷真题,已交卷,2025/9/29 9:33,21,4,"10,947,367,109,480,500,000,000,000,000,000",0.8095
S008,52617892,初一生物上册期中模拟卷（一）,生物,刷真题,已交卷,2025/9/27 18:25,21,5,"1,094,767,210,947,920,000,000,000,000,000,000,000,000",0.7619
S005,52081353,2024年广州市初一科学期中真题卷,科学,刷真题,已交卷,2025/9/5 14:20,20,4,"10,936,863,109,369,200,000,000,000,000,000",0.8
S006,52081353,2024年广州市初一科学期中真题卷,科学,刷真题,未交卷仅在线练,2025/9/4 8:01,20,0,null,0
S007,52081353,2024年广州市初一科学期中真题卷,科学,刷真题,已交卷,2025/9/5 7:55,20,3,"109,370,981,093,713,000,000,000",0.85
S008,52081353,2024年广州市初一科学期中真题卷,科学,刷真题,已交卷,2025/9/3 9:29,20,6,"109,368,881,093,692,000,000,000,000,000,000,000,000,000,000,000",0.7
S009,56888415,2025年广州市初一数学9月月考卷,数学,刷真题,已交卷,2025/9/14 10:02,21,11,"1,095,521,910,955,220,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",0.4762
S010,56888415,2025年广州市初一数学9月月考卷,数学,刷真题,未交卷仅在线练,2025/9/13 14:08,21,0,null,0
