student_id,paper_id,subject,knowledge_point,is_mastered,judge_time
S002,52040203,数学,有理数的运算,已掌握,2025-09-15 07:49:36
S002,52040203,数学,绝对值,已掌握,2025-09-15 07:49:36
S003,52040203,数学,合并同类项,已掌握,2025-09-15 21:28:11
S003,52040203,数学,有理数的运算,已掌握,2025-09-15 21:28:11
S001,52670756,语文,记叙文阅读理解,已掌握,2025-09-10 19:54:47
S001,52670756,语文,字词释义,已掌握,2025-09-10 19:54:47
S003,52670756,语文,记叙文阅读理解,已掌握,2025-09-10 21:40:56
S003,52670756,语文,字词释义,已掌握,2025-09-10 21:40:56
S002,57165035,英语,词汇辨析,已掌握,2025-09-13 10:12:05
S003,57165035,英语,一般现在时,已掌握,2025-09-14 11:31:42
S003,57165035,英语,there be句型,已掌握,2025-09-14 11:31:42
S003,57165035,英语,词汇辨析,已掌握,2025-09-14 11:31:42
S001,57318362,历史,辛亥革命,已掌握,2025-09-20 07:26:34
S001,57318362,历史,丝绸之路,已掌握,2025-09-20 07:26:34
S001,57318362,历史,秦朝统一六国,已掌握,2025-09-20 07:26:34
S002,57318362,历史,秦朝统一六国,已掌握,2025-09-20 21:54:25
S002,57318362,历史,丝绸之路,已掌握,2025-09-20 21:54:25
S004,57318362,历史,秦朝统一六国,已掌握,2025-09-20 18:31:20
S004,57318362,历史,丝绸之路,已掌握,2025-09-20 18:31:20
S004,57318362,历史,辛亥革命,未掌握,2025-09-20 18:31:20
S001,51583581,道德与法治,公民的基本权利与义务,已掌握,2025-09-25 11:47:00
S002,51583581,道德与法治,法律的作用,已掌握,2025-09-25 13:40:32
S002,51583581,道德与法治,公民的基本权利与义务,已掌握,2025-09-25 13:40:32
S004,51583581,道德与法治,法律的作用,已掌握,2025-09-25 21:52:22
S002,52058690,生物,细胞的结构与功能,已掌握,2025-09-29 10:12:45
S002,52058690,生物,光合作用,已掌握,2025-09-29 10:12:45
S003,52058690,生物,细胞的结构与功能,已掌握,2025-09-29 17:53:32
