"student_id","paper_id","subject","knowledge_point","is_mastered","judge_time"
"42497411","4QJRWEfZYbcbSQwN","生物学","微生物的培养与应用综合","已掌握","2026-04-29 11:33:43"
"42497411","4QJRWEfZYbcbSQwN","生物学","分解纤维素的微生物的分离","已掌握","2026-04-29 11:33:43"
"42497411","4QJRWEfZYbcbSQwN","生物学","土壤中分解尿素的细菌的分离与计数","已掌握","2026-04-29 11:33:43"
"42497411","4QJRWEfZYbcbSQwN","生物学","显微镜直接计数","已掌握","2026-04-29 11:33:43"
"42497411","4QJRWEfZYbcbSQwN","生物学","其他微生物的分离与计数","已掌握","2026-04-29 11:33:43"
"65002550","4QJRWEfW1UXGZqfv","生物学","细胞学说及其建立过程","已掌握","2026-04-29 07:45:39"
"65002550","4QJRWEfW1UXGZqfv","生物学","细胞是基本的生命系统","已掌握","2026-04-29 07:45:39"
"65002550","4QJRWEfW1UXGZqfv","生物学","病毒结构、分类和增殖","已掌握","2026-04-29 07:45:39"
"65002550","4QJRWEfW1UXGZqfv","生物学","生命活动与细胞的关系","已掌握","2026-04-29 07:45:39"
"87172493","4QJRWEfZcQIv80V4","生物学","内环境是外界与细胞进行物质交换的媒介","已掌握","2026-04-20 17:10:07"
"87172493","4QJRWEfZcQIv80V4","生物学","内环境的组成及成分","已掌握","2026-04-20 17:10:07"
"87172493","4QJRWEfZcQIv80V4","生物学","内环境的理化性质","已掌握","2026-04-20 17:10:07"
"87266693","4QJRWEfW1UXGZqfv","生物学","细胞是基本的生命系统","未掌握","2026-05-01 23:56:44"
"87266693","4QJRWEfW1UXGZqfv","生物学","病毒结构、分类和增殖","已掌握","2026-05-01 23:56:44"
"87266693","4QJRWEfW1UXGZqfv","生物学","生命活动与细胞的关系","已掌握","2026-05-01 23:56:44"
"87266693","4QJRWEfW1UXGZqfv","生物学","细胞学说及其建立过程","已掌握","2026-05-01 23:56:44"
"87266693","4QJRWEfW1UXGZqfv","null","细胞是基本的生命系统","已掌握","2026-05-01 23:59:44"
"87266829","4QJRWMr66Q1H1hlw","数学","根据集合中元素的个数求参数","已掌握","2026-05-09 15:35:15"
"87266829","4QJRWMr66Q1H1hlw","数学","根据集合相等关系进行计算","已掌握","2026-05-09 15:35:15"
"87266829","4QJRWMr66Q1H1hlw","数学","判断元素能否构成集合","已掌握","2026-05-09 15:35:15"
"87266829","4QJRWMr66Q1H1hlw","数学","判断是否为同一集合","已掌握","2026-05-09 15:35:15"
"87266829","4QJRWMr66Q1H1hlw","数学","根据元素与集合的关系求参数","已掌握","2026-05-09 15:35:15"
"87266829","4QJRWMr66Q1H1hlw","数学","常用数集或数集关系应用","已掌握","2026-05-09 15:35:15"
"87266829","4QJRWMr66Q1H1hlw","数学","利用集合元素的互异性求参数","已掌握","2026-05-09 15:35:15"
"87266829","4QJRWMr66Q1H1hlw","数学","利用集合中元素的性质求集合元素个数","已掌握","2026-05-09 15:35:15"
"87266829","4QJRWMr66Q1H1hlw","数学","集合元素互异性的应用","已掌握","2026-05-09 15:35:15"
"87266829","4QJRWMr66Q1H1hlw","数学","判断元素与集合的关系","已掌握","2026-05-09 15:35:15"
"87309770","4QJRWEfVYygoV1br","物理","已知物体运动情况判断参考系","已掌握","2026-05-09 17:22:46"
"87309770","4QJRWEfVYygoV1br","物理","质点","已掌握","2026-05-09 17:22:46"
"87309770","4QJRWEfVYygoV1br","物理","同一运动在不同参考系中的描述","已掌握","2026-05-09 17:22:46"
"87309770","4QJRWEfVYygoV1br","物理","机械运动","已掌握","2026-05-09 17:22:46"
"87309770","4QJRWEfVYygoV1br","物理","已知参考系判断物体运动情况","已掌握","2026-05-09 17:22:46"
