paper_id,question_no,qbm_id,bank_id,id
29279441,1,2528628818354176,23,10916728
29279441,2,2528628818403329,23,10916737
29279441,3,2528628818485249,23,10916748
29279441,4,2531854916206592,25,10916759
29279441,5,2531854916263937,25,10916770
29279441,6,2532139182391297,16,10916795
29279441,7,2532007054573568,14,10916819
29279441,8,2532574871109632,14,10916851
29279441,9,2532068298522624,24,10916876
29279441,10,2507709769474048,9,10916892
29279441,11,2507709769490432,9,10916895
29279441,12,2532443259207680,24,10916902
29279441,13,2530705710374913,23,10916923
29279441,14,2531984779943936,25,10916975
29279441,15,2531992568807424,25,10916984
29279441,16,2530002252537856,12,10917099
29279441,17,2532780620365825,32,10917145
29279441,18,2516602994016256,13,10917237
29279441,19,2516284466929665,13,10917248
29279441,20,2514070143991808,2,10917359
29279441,21,2531940735049728,7,10917376
30228294,1,2531940735090688,7,10917381
30228294,2,2513764876222464,2,10917410
30228294,3,2531465162727424,7,10917441
30228294,4,2531465162760192,7,10917446
30228294,5,2529748226678784,12,10917510
30228294,6,2514068730331136,2,10917609
30228294,7,2532355341754368,1,10917621
30228294,8,2524793162162177,17,10917651
30228294,9,2516481773789184,13,10917665
30228294,10,2532502670614528,7,10917672
30228294,11,2510901857804288,3,10917685
30231738,1,2510901857837056,3,10917690
30231738,2,2510901857968128,3,10917711
30231738,3,2531894043639808,25,10917747
30231738,4,2532119812775936,25,10917772
30231738,5,2524888382840832,17,10917781
30231738,6,2524785273077760,17,10917790
30231738,7,2531895482245120,18,10917794
30231738,8,2532113035591680,25,10917843
30231738,9,2532682867621889,4,10917936
30231738,10,2529682642558976,11,10917994
30231738,11,2526221322715136,10,10918006
30231738,12,2526221322903552,10,10918037
30231738,13,2526221322969088,10,10918047
30231738,14,2526221323083776,10,10918064
30231738,15,2531799245824000,23,10918175
30231738,16,2529795662454784,12,10918218
30231738,17,2524899414327297,17,10918291
30231738,18,2532177052835841,23,10918326
30231738,19,2532523418492928,14,10918403
33862242,1,2529837432184833,12,10918447
33862242,2,2529837432233984,12,10918456
33862242,3,2529837432315904,12,10918473
33862242,4,2521444705312768,4,10918511
33862242,5,2521444705370113,4,10918519
33862242,6,2521328938409984,4,10918538
33862242,7,2532015752740864,7,10918602
33862242,8,2529803398619136,11,10918666
33862242,9,2521809788690432,4,10918671
33862242,10,2521809788715008,4,10918675
33862242,11,2533127025557505,7,10918775
33862242,12,2533127025573889,7,10918777
33862242,13,2532154842128384,24,10918849
33862242,14,2524842092576768,17,10918966
33862242,15,2524842092584960,17,10918967
33862242,16,2524842092683264,17,10918976
33862242,17,2532496427638784,24,10918981
33862242,18,2532143977816064,24,10919001
33862242,19,2532531465011200,24,10919024
33862242,20,2524902172794881,17,10919109
33862242,21,2530946170781696,10,10919115
34876521,1,2517149990158336,3,10919249
34876521,2,2533175422418944,7,10919351
34876521,3,2507795810025472,9,10919360
34876521,4,2507795810140161,9,10919379
34876521,5,2514147077038080,2,10919434
34876521,6,2531915720990721,25,10919456
34876521,7,2496357938405376,5,10919511
34876521,8,2532649035595776,24,10919530
34876521,9,2530369282170880,12,10919577
34876521,10,2530369282908161,12,10919666
34876521,11,2507934275067905,9,10919778
39620905,1,2532854464905217,7,10919819
39620905,2,2514833736122368,3,10919846
39620905,3,2513504447307776,3,10919854
39620905,4,2532431255175168,8,10919871
