student_id,paper_id,paper_name,subject,scene,is_submit,submit_time,total_questions,wrong_count,wrong_question_ids,correct_rate
S001,4QJRWEgazpntqibL,2 姓氏歌,语文,同步学在线练,已交卷,2025/9/6 8:17,5,2,"10927892,10927921",0.6
S002,4QJRWEgazpntqibL,2 姓氏歌,语文,同步学在线练,已交卷,2025/9/22 20:51,5,1,10927959,0.8
S003,4QJRWEgazpntqibL,2 姓氏歌,语文,同步学在线练,已交卷,2025/9/30 14:47,5,2,"10927892,10927959",0.6
S001,4QJRWMr66Q1H1hlv,1.1 集合的概念,数学,同步学在线练,未交卷,2025/9/4 10:03,10,0,null,0
S002,4QJRWMr66Q1H1hlv,1.1 集合的概念,数学,同步学在线练,未交卷,2025/9/10 18:48,10,0,null,0
S003,4QJRWMr66Q1H1hlv,1.1 集合的概念,数学,同步学在线练,未交卷,2025/9/14 16:07,10,0,null,0
S004,4QJRWMr66Q1H1hlv,1.1 集合的概念,数学,同步学在线练,已交卷,2025/9/16 17:03,10,1,10928235,0.9
S002,4QJRWEg0wdaiPol3,Topic Talk,英语,同步学在线练,已交卷,2025/9/27 10:58,5,0,null,1.0
S003,4QJRWEg0wdaiPol3,Topic Talk,英语,同步学在线练,未交卷,2025/9/30 13:09,5,0,null,0
S004,4QJRWEg0wdaiPol3,Topic Talk,英语,同步学在线练,未交卷,2025/9/16 19:37,5,0,null,0
S001,4QJRWEfW1UXGZqfv,第1节 细胞是生命活动的基本单位,历史,同步学在线练,已交卷,2025/9/16 17:58,4,2,"10926227,10926243",0.5
S002,4QJRWEfW1UXGZqfv,第1节 细胞是生命活动的基本单位,历史,同步学在线练,未交卷,2025/9/17 7:27,4,0,null,0
S003,4QJRWEfW1UXGZqfv,第1节 细胞是生命活动的基本单位,历史,同步学在线练,已交卷,2025/9/17 10:43,4,1,10926258,0.75
S004,4QJRWEfW1UXGZqfv,第1节 细胞是生命活动的基本单位,历史,同步学在线练,未交卷,2025/9/27 8:04,4,0,null,0
S001,HChMkIo89n1AcIqjzdNo,生产资料所有制与经济体制,道德与法治,升学备考-精准练题组在线练,已交卷,2025/9/17 12:39,5,1,10985632,0.8
S002,HChMkIo89n1AcIqjzdNo,生产资料所有制与经济体制,道德与法治,升学备考-精准练题组在线练,已交卷,2025/9/18 19:10,5,0,null,1.0
S003,HChMkIo89n1AcIqjzdNo,生产资料所有制与经济体制,道德与法治,升学备考-精准练题组在线练,已交卷,2025/9/8 19:11,5,2,"10985632,10985681",0.6
S004,HChMkIo89n1AcIqjzdNo,生产资料所有制与经济体制,道德与法治,升学备考-精准练题组在线练,未交卷,2025/9/5 14:57,5,0,null,0
S001,4QJRWEfW1UXGZqfw,第1节 细胞是生命活动的基本单位,生物,同步学在线练,已交卷,2025/9/4 17:16,4,1,10926363,0.75
S002,4QJRWEfW1UXGZqfw,第1节 细胞是生命活动的基本单位,生物,同步学在线练,未交卷,2025/9/22 17:54,4,0,null,0
S003,4QJRWEfW1UXGZqfw,第1节 细胞是生命活动的基本单位,生物,同步学在线练,已交卷,2025/9/3 13:55,4,2,"10926293,10926339",0.5
S004,4QJRWEfW1UXGZqfw,第1节 细胞是生命活动的基本单位,生物,同步学在线练,已交卷,2025/9/16 8:10,4,1,10926293,0.75
S001,4QJRWEfVYygoV1br,1. 质点　参考系,科学,同步学在线练,已交卷,2025/9/16 18:43,5,2,"10926087,10926166",0.6
S003,4QJRWEfVYygoV1br,1. 质点　参考系,科学,同步学在线练,已交卷,2025/9/14 14:16,5,3,"10925968,10926066,10926166",0.4
S004,4QJRWEfVYygoV1br,1. 质点　参考系,科学,同步学在线练,已交卷,2025/9/2 19:35,5,2,"10926066,10926087",0.6
S001,4QJRWEgazpYYKfKh,3 小青蛙,语文,同步学在线练,未交卷,2025/9/16 19:11,5,0,null,0
S002,4QJRWEgazpYYKfKh,3 小青蛙,语文,同步学在线练,已交卷,2025/9/28 20:26,5,1,10927769,0.8
S003,4QJRWEgazpYYKfKh,3 小青蛙,语文,同步学在线练,已交卷,2025/9/24 19:23,5,2,"10927671,10927826",0.6
S004,4QJRWEgazpYYKfKh,3 小青蛙,语文,同步学在线练,已交卷,2025/9/18 9:28,5,1,10985724,0.8
S006,4QJRWEgazoLY6kDf,1 春夏秋冬,语文,同步学在线练,已交卷,2025/9/23 16:22,5,1,10927599,0.8
S008,4QJRWEgazoLY6kDf,1 春夏秋冬,语文,同步学在线练,已交卷,2025/9/25 19:09,5,2,"10927457,10927641",0.6
S005,4QJRWMr66Q1H1hlv,1.1 集合的概念,数学,同步学在线练,已交卷,2025/9/5 9:43,10,3,"10928218,10928358,10928386",0.7
S006,4QJRWMr66Q1H1hlv,1.1 集合的概念,数学,同步学在线练,未交卷,2025/9/23 19:39,10,0,null,0
S007,4QJRWMr66Q1H1hlv,1.1 集合的概念,数学,同步学在线练,未交卷,2025/9/25 16:37,10,0,null,0
S005,4QJRWEg0wdaiPol3,Topic Talk,英语,同步学在线练,未交卷,2025/9/5 19:45,5,0,null,0
S006,4QJRWEg0wdaiPol3,Topic Talk,英语,同步学在线练,已交卷,2025/9/30 12:53,5,2,"10927098,10927137",0.6
S007,4QJRWEg0wdaiPol3,Topic Talk,英语,同步学在线练,已交卷,2025/9/15 20:59,5,1,10927098,0.8
S008,4QJRWEg0wdaiPol3,Topic Talk,英语,同步学在线练,已交卷,2025/9/11 12:55,5,1,10927052,0.8
S005,4QJRWEfW1UXGZqfv,第1节 细胞是生命活动的基本单位,历史,同步学在线练,已交卷,2025/9/3 16:30,4,1,10926243,0.75
S006,4QJRWEfW1UXGZqfv,第1节 细胞是生命活动的基本单位,历史,同步学在线练,已交卷,2025/9/18 21:50,4,1,10926258,0.75
S007,4QJRWEfW1UXGZqfv,第1节 细胞是生命活动的基本单位,历史,同步学在线练,已交卷,2025/9/7 18:49,4,1,10926258,0.75
S008,4QJRWEfW1UXGZqfv,第1节 细胞是生命活动的基本单位,历史,同步学在线练,未交卷,2025/9/23 14:55,4,0,null,0
S005,HChMkIo89n1AcIqjzdNo,生产资料所有制与经济体制,道德与法治,升学备考-精准练题组在线练,已交卷,2025/9/5 19:59,5,1,10985598,0.8
S006,HChMkIo89n1AcIqjzdNo,生产资料所有制与经济体制,道德与法治,升学备考-精准练题组在线练,未交卷,2025/9/19 14:46,5,0,null,0
S007,HChMkIo89n1AcIqjzdNo,生产资料所有制与经济体制,道德与法治,升学备考-精准练题组在线练,已交卷,2025/9/20 7:58,5,2,"10985632,10985678",0.6
S008,HChMkIo89n1AcIqjzdNo,生产资料所有制与经济体制,道德与法治,升学备考-精准练题组在线练,已交卷,2025/9/19 15:46,5,1,10985678,0.8
S005,4QJRWEfZYbcbSQwN,第2节（二）微生物的选择培养与计数,生物,同步学在线练,已交卷,2025/9/7 21:25,5,2,"10926784,10926836",0.6
S006,4QJRWEfZYbcbSQwN,第2节（二）微生物的选择培养与计数,生物,同步学在线练,已交卷,2025/9/28 21:04,5,2,"10926748,10926830",0.6
S007,4QJRWEfZYbcbSQwN,第2节（二）微生物的选择培养与计数,生物,同步学在线练,未交卷,2025/9/18 15:20,5,0,null,0
S008,4QJRWEfZYbcbSQwN,第2节（二）微生物的选择培养与计数,生物,同步学在线练,已交卷,2025/9/24 16:55,5,1,10926784,0.8
S005,4QJRWMr6qRVQYnh7,地球在宇宙中的位置,科学,同步学在线练,已交卷,2025/9/13 10:51,9,2,"10929032,10929271",0.7778
S006,4QJRWMr6qRVQYnh7,地球在宇宙中的位置,科学,同步学在线练,已交卷,2025/9/14 11:06,9,0,null,1.0
S007,4QJRWMr6qRVQYnh7,地球在宇宙中的位置,科学,同步学在线练,已交卷,2025/9/25 15:36,9,1,10929107,0.8889
S005,4QJRWEgazpntqibL,2 姓氏歌,语文,同步学在线练,已交卷,2025/9/30 20:56,5,2,"10927850,10927959",0.6
S006,4QJRWEgazpntqibL,2 姓氏歌,语文,同步学在线练,已交卷,2025/9/14 17:09,5,1,10927850,0.8
S006,4QJRWEgazpntqibL,2 姓氏歌,语文,同步学在线练,未交卷,2025/9/16 19:32,5,0,null,0
S007,4QJRWEgazpntqibL,2 姓氏歌,语文,同步学在线练,已交卷,2025/9/23 8:01,5,2,"10927850,10927906",0.6
S008,4QJRWEgazpntqibL,2 姓氏歌,语文,同步学在线练,已交卷,2025/9/28 20:01,5,2,"10927892,10927906",0.6
S009,4QJRWEgazpntqibL,2 姓氏歌,语文,同步学在线练,已交卷,2025/9/19 16:03,5,2,"10927921,10927959",0.6
S010,4QJRWEgazpntqibL,2 姓氏歌,语文,同步学在线练,已交卷,2025/9/19 13:55,5,1,10927921,0.8
S011,4QJRWEgazpntqibL,2 姓氏歌,语文,同步学在线练,未交卷,2025/9/16 8:25,5,0,null,0
S012,4QJRWEgazpntqibL,2 姓氏歌,语文,同步学在线练,已交卷,2025/9/4 15:04,5,2,"10927850,10927892",0.6
S009,4QJRWMr66Q1H1hlv,1.1 集合的概念,数学,同步学在线练,已交卷,2025/9/22 17:37,10,5,"10928218,10928291,10928358,10928386,10928531",0.5
S010,4QJRWMr66Q1H1hlv,1.1 集合的概念,数学,同步学在线练,已交卷,2025/9/10 20:34,10,2,"10928235,10928291",0.8
S011,4QJRWMr66Q1H1hlv,1.1 集合的概念,数学,同步学在线练,已交卷,2025/9/27 15:20,10,3,"10928235,10928306,10928531",0.7
S012,4QJRWMr66Q1H1hlv,1.1 集合的概念,数学,同步学在线练,已交卷,2025/9/27 21:35,10,5,"10928218,10928291,10928386,10928420,10928488",0.5
S009,4QJRWEg0wdaiPol3,Topic Talk,英语,同步学在线练,已交卷,2025/9/29 9:53,5,2,"10927052,10927098",0.6
S009,4QJRWEg0wdaiPol3,Topic Talk,英语,同步学在线练,未交卷,2025/9/29 9:50,5,0,null,0
S010,4QJRWEg0wdaiPol3,Topic Talk,英语,同步学在线练,已交卷,2025/9/30 9:22,5,0,null,1.0
S011,4QJRWEg0wdaiPol3,Topic Talk,英语,同步学在线练,已交卷,2025/9/20 9:11,5,1,10927137,0.8
S012,4QJRWEg0wdaiPol3,Topic Talk,英语,同步学在线练,已交卷,2025/9/29 8:54,5,0,null,1.0
S009,4QJRWEfW1UXGZqfv,第1节 细胞是生命活动的基本单位,历史,同步学在线练,已交卷,2025/9/20 20:15,4,2,"10926174,10926243",0.5
S011,4QJRWEfW1UXGZqfv,第1节 细胞是生命活动的基本单位,历史,同步学在线练,已交卷,2025/9/10 16:22,4,0,null,1.0
S012,4QJRWEfW1UXGZqfv,第1节 细胞是生命活动的基本单位,历史,同步学在线练,已交卷,2025/9/6 11:12,4,1,10926174,0.75
S009,HChMkIo89n1AcIqjzdNo,生产资料所有制与经济体制,道德与法治,升学备考-精准练题组在线练,已交卷,2025/9/19 7:12,5,1,10985598,0.8
S010,HChMkIo89n1AcIqjzdNo,生产资料所有制与经济体制,道德与法治,升学备考-精准练题组在线练,已交卷,2025/9/9 13:39,5,1,10985578,0.8
S011,HChMkIo89n1AcIqjzdNo,生产资料所有制与经济体制,道德与法治,升学备考-精准练题组在线练,已交卷,2025/9/19 8:18,5,1,10985578,0.8
S012,HChMkIo89n1AcIqjzdNo,生产资料所有制与经济体制,道德与法治,升学备考-精准练题组在线练,已交卷,2025/9/16 14:35,5,1,10985632,0.8
S009,4QJRWEfW1UXGZqfw,第1节 细胞是生命活动的基本单位,生物,同步学在线练,已交卷,2025/9/3 17:10,4,2,"10926293,10926299",0.5
S010,4QJRWEfW1UXGZqfw,第1节 细胞是生命活动的基本单位,生物,同步学在线练,未交卷,2025/9/21 15:34,4,0,null,0
S011,4QJRWEfW1UXGZqfw,第1节 细胞是生命活动的基本单位,生物,同步学在线练,未交卷,2025/9/21 14:47,4,0,null,0
S012,4QJRWEfW1UXGZqfw,第1节 细胞是生命活动的基本单位,生物,同步学在线练,未交卷,2025/9/13 20:58,4,0,null,0
S009,4QJRWEgazoLY6kDf,1 春夏秋冬,科学,同步学在线练,未交卷,2025/9/19 14:01,5,0,null,0
S010,4QJRWEgazoLY6kDf,1 春夏秋冬,科学,同步学在线练,已交卷,2025/9/30 8:08,5,2,"10927561,10927599",0.6
S011,4QJRWEgazoLY6kDf,1 春夏秋冬,科学,同步学在线练,未交卷,2025/9/19 8:05,5,0,null,0
S012,4QJRWEgazoLY6kDf,1 春夏秋冬,科学,同步学在线练,已交卷,2025/9/13 8:07,5,1,10927561,0.8
S009,4QJRWEgazpYYKfKh,3 小青蛙,语文,同步学在线练,已交卷,2025/9/17 19:54,5,2,"10927671,10927826",0.6
S010,4QJRWEgazpYYKfKh,3 小青蛙,语文,同步学在线练,已交卷,2025/9/24 11:41,5,2,"10927671,10927693",0.6
S011,4QJRWEgazpYYKfKh,3 小青蛙,语文,同步学在线练,未交卷,2025/9/22 15:51,5,0,null,0
S014,4QJRWEgazpYYKfKh,3 小青蛙,语文,同步学在线练,未交卷,2025/9/8 20:49,5,0,null,0
S015,4QJRWEgazpYYKfKh,3 小青蛙,语文,同步学在线练,已交卷,2025/9/29 7:28,5,1,10927693,0.8
S016,4QJRWEgazpYYKfKh,3 小青蛙,语文,同步学在线练,已交卷,2025/9/18 14:00,5,1,10927693,0.8
S014,4QJRWMr66Q1H1hlw,1.1 集合的概念,数学,同步学在线练,未交卷,2025/9/25 17:23,10,0,null,0
S015,4QJRWMr66Q1H1hlw,1.1 集合的概念,数学,同步学在线练,已交卷,2025/9/10 21:44,10,3,"10928715,10928788,10928808",0.7
S014,4QJRWEg0wdaiPol3,Topic Talk,英语,同步学在线练,已交卷,2025/9/21 12:17,5,3,"10927052,10927137,10927159",0.4
S015,4QJRWEg0wdaiPol3,Topic Talk,英语,同步学在线练,已交卷,2025/9/15 10:22,5,1,10927305,0.8
S015,4QJRWEg0wdaiPol3,Topic Talk,英语,同步学在线练,未交卷,2025/9/15 18:54,5,0,null,0
S016,4QJRWEg0wdaiPol3,Topic Talk,英语,同步学在线练,已交卷,2025/9/20 12:53,5,1,10927305,0.8
S015,4QJRWEfX8zNJw6Pv,2. 光电效应,物理,同步学在线练,已交卷,2025/9/6 16:13,10,3,"10926476,10926582,10926719",0.7
